,Close,Open,High,Low,Adj Close,Volume
2020-01-01,1883.13,1884.22,1895.97,1879.3,1883.13,101894952
2020-01-02,1918.75,1901.66,1929.66,1897.59,1918.75,114512159
2020-01-03,1909.45,1894.93,1930.17,1864.39,1909.45,96752394
2020-01-06,1926.12,1934.15,1947.42,1925.71,1926.12,146598166
2020-01-07,2019.48,2010.03,2031.32,1999.58,2019.48,92441419
2020-01-08,1996.62,1989.54,2001.5,1961.13,1996.62,86133954
2020-01-09,1915.02,1908.4,1934.89,1867.65,1915.02,85292038
2020-01-10,1904.26,1894.87,1906.85,1865.61,1904.26,81817504
2020-01-13,1963.09,1982.16,2011.2,1912.51,1963.09,89490056
2020-01-14,2093.51,2075.95,2097.32,2045.36,2093.51,79837375
2020-01-15,2095.85,2090.28,2105.53,2079.38,2095.85,124292214
2020-01-16,2037.05,2034.61,2049.97,2018.37,2037.05,100346973
2020-01-17,2017.67,2014.34,2052.83,1983.09,2017.67,126246399
2020-01-20,2063.66,2067.0,2079.06,2030.74,2063.66,86024043
2020-01-21,2101.83,2121.54,2123.1,2071.49,2101.83,105370664
2020-01-22,2167.11,2181.74,2217.37,2152.53,2167.11,59598923
2020-01-23,2195.28,2206.57,2280.47,2181.29,2195.28,107084638
2020-01-24,2231.15,2254.39,2263.89,2222.03,2231.15,130591299
2020-01-27,2166.84,2168.73,2197.61,2138.84,2166.84,121115099
2020-01-28,2131.53,2130.65,2169.16,2126.9,2131.53,148061369
2020-01-29,2112.7,2111.15,2131.55,2105.47,2112.7,127680376
2020-01-30,2164.41,2132.16,2177.89,2121.89,2164.41,110663932
2020-01-31,2201.56,2196.77,2223.66,2169.07,2201.56,54072618
2020-02-03,2183.46,2169.67,2206.86,2152.69,2183.46,63159645
2020-02-04,2098.18,2076.69,2101.14,2061.77,2098.18,114190918
2020-02-05,2200.06,2195.83,2202.1,2185.74,2200.06,125569794
2020-02-06,2285.6,2314.45,2345.65,2271.93,2285.6,76406894
2020-02-07,2175.6,2174.47,2183.96,2165.98,2175.6,86891716
2020-02-10,2168.72,2162.94,2179.0,2162.76,2168.72,83854829
2020-02-11,2182.02,2185.79,2191.93,2168.24,2182.02,63891344
2020-02-12,2235.67,2240.76,2282.36,2230.1,2235.67,149479076
2020-02-13,2295.33,2300.47,2319.0,2280.23,2295.33,144375627
2020-02-14,2320.86,2345.87,2346.86,2310.91,2320.86,70269064
2020-02-17,2318.39,2331.4,2349.59,2313.47,2318.39,143019961
2020-02-18,2319.24,2307.18,2324.21,2294.07,2319.24,71506354
2020-02-19,2303.2,2283.23,2329.47,2280.76,2303.2,52212238
2020-02-20,2312.66,2316.43,2387.09,2308.67,2312.66,111687524
2020-02-21,2281.33,2268.16,2315.29,2220.74,2281.33,100538420
2020-02-24,2333.09,2345.48,2362.78,2332.14,2333.09,93875366
2020-02-25,2302.76,2307.99,2317.39,2255.19,2302.76,117655687
2020-02-26,2278.79,2259.28,2278.87,2241.95,2278.79,95499496
2020-02-27,2253.41,2250.71,2275.34,2224.66,2253.41,115012263
2020-02-28,2091.08,2093.17,2110.72,2073.32,2091.08,126737561
2020-03-02,2056.61,2056.11,2069.22,2044.24,2056.61,137212458
2020-03-03,2082.79,2085.49,2100.02,2081.32,2082.79,128113496
2020-03-04,2085.0,2099.33,2116.39,2070.21,2085.0,90571886
2020-03-05,2125.2,2116.22,2127.39,2114.72,2125.2,131930515
2020-03-06,2110.57,2106.41,2127.73,2049.56,2110.57,89042124
2020-03-09,2010.53,1989.3,2014.08,1976.53,2010.53,75988019
2020-03-10,2030.05,2022.33,2035.14,1988.71,2030.05,71104434
2020-03-11,2024.84,2025.18,2027.5,2005.29,2024.84,87569131
2020-03-12,2003.03,1988.91,2034.81,1955.33,2003.03,110677076
2020-03-13,1910.06,1921.51,1938.56,1908.08,1910.06,91880062
2020-03-16,1886.32,1902.41,1909.47,1876.73,1886.32,108301742
2020-03-17,1940.57,1944.02,1948.43,1930.65,1940.57,88931902
2020-03-18,1898.03,1884.23,1921.4,1872.46,1898.03,136247827
2020-03-19,1996.3,2007.18,2012.24,1977.92,1996.3,63147109
2020-03-20,1945.41,1938.72,1967.44,1877.59,1945.41,51844846
2020-03-23,1908.12,1904.81,1923.66,1884.1,1908.12,136909922
2020-03-24,1960.18,1954.75,1995.61,1933.98,1960.18,60362836
2020-03-25,1892.02,1899.71,1907.09,1886.67,1892.02,100519919
2020-03-26,1891.94,1918.05,1925.26,1875.75,1891.94,74492367
2020-03-27,1839.11,1835.25,1851.71,1828.77,1839.11,63091838
2020-03-30,1868.02,1864.37,1898.72,1841.57,1868.02,125739505
2020-03-31,1863.29,1879.36,1921.27,1842.72,1863.29,106632733
2020-04-01,1841.71,1839.21,1868.87,1818.91,1841.71,106873083
2020-04-02,1800.37,1811.57,1814.39,1765.57,1800.37,83795966
2020-04-03,1814.72,1825.01,1834.99,1807.54,1814.72,111506607
2020-04-06,1767.16,1787.64,1826.19,1722.02,1767.16,140525412
2020-04-07,1699.51,1704.86,1742.43,1656.04,1699.51,133144380
2020-04-08,1754.67,1730.19,1757.33,1718.35,1754.67,91241088
2020-04-09,1712.11,1699.01,1732.28,1694.49,1712.11,127721017
2020-04-10,1792.92,1791.76,1799.51,1724.76,1792.92,86074859
2020-04-13,1777.08,1778.82,1778.91,1760.94,1777.08,141869638
2020-04-14,1728.61,1728.61,1732.61,1713.8,1728.61,57060916
2020-04-15,1764.87,1750.06,1803.75,1748.05,1764.87,88051517
2020-04-16,1716.39,1701.64,1731.65,1697.3,1716.39,133795161
2020-04-17,1686.61,1699.5,1721.6,1674.44,1686.61,135961330
2020-04-20,1683.34,1693.37,1720.87,1664.4,1683.34,100795564
2020-04-21,1751.6,1739.38,1768.4,1737.87,1751.6,105272710
2020-04-22,1749.09,1740.62,1752.62,1708.29,1749.09,93754459
2020-04-23,1749.65,1749.85,1761.61,1722.21,1749.65,113389112
2020-04-24,1771.28,1765.72,1800.84,1734.46,1771.28,62088669
2020-04-27,1755.71,1747.48,1759.73,1721.79,1755.71,125046106
2020-04-28,1711.03,1702.75,1737.25,1690.15,1711.03,123491697
2020-04-29,1663.78,1643.43,1707.69,1620.24,1663.78,83319741
2020-04-30,1629.79,1652.43,1668.66,1602.75,1629.79,138106658
2020-05-01,1585.27,1576.4,1595.66,1557.42,1585.27,92727717
2020-05-04,1624.69,1613.91,1654.16,1593.65,1624.69,91441243
2020-05-05,1627.49,1614.83,1647.68,1598.28,1627.49,125327688
2020-05-06,1749.21,1751.61,1799.12,1742.44,1749.21,142706736
2020-05-07,1768.38,1803.91,1831.19,1767.02,1768.38,53619402
2020-05-08,1857.07,1871.32,1874.98,1835.71,1857.07,136344568
2020-05-11,1837.78,1842.05,1844.26,1802.71,1837.78,94016086
2020-05-12,1782.68,1775.89,1798.3,1756.39,1782.68,58349986
2020-05-13,1762.83,1756.31,1767.41,1716.19,1762.83,146907407
2020-05-14,1772.18,1770.19,1793.53,1759.55,1772.18,126710352
2020-05-15,1795.46,1797.73,1800.2,1779.0,1795.46,60434360
2020-05-18,1845.48,1837.52,1850.69,1813.11,1845.48,91374833
2020-05-19,1890.84,1884.21,1909.72,1879.62,1890.84,51381346
2020-05-20,1877.75,1882.09,1882.6,1853.18,1877.75,73975883
2020-05-21,1898.77,1881.38,1911.73,1878.49,1898.77,118594312
2020-05-22,1906.15,1919.85,1936.25,1888.27,1906.15,86961498
2020-05-25,1914.45,1933.08,1940.33,1879.55,1914.45,54407387
2020-05-26,1908.1,1908.67,1925.6,1877.26,1908.1,94816896
2020-05-27,1933.31,1946.79,1946.95,1914.02,1933.31,107580446
2020-05-28,1963.82,1966.44,1991.59,1922.96,1963.82,135686025
2020-05-29,1923.39,1930.45,1951.73,1915.66,1923.39,58691496
2020-06-01,1920.63,1930.66,1944.54,1911.36,1920.63,97290847
2020-06-02,1900.2,1925.52,1930.79,1879.71,1900.2,58072576
2020-06-03,1876.52,1887.31,1898.17,1821.98,1876.52,148085615
2020-06-04,1944.52,1942.7,1945.79,1928.9,1944.52,51137409
2020-06-05,1876.31,1864.25,1880.32,1850.05,1876.31,86134011
2020-06-08,1930.35,1947.69,1960.9,1920.98,1930.35,50017187
2020-06-09,1944.22,1934.93,1955.77,1914.1,1944.22,133789964
2020-06-10,1937.96,1936.83,1979.17,1921.76,1937.96,91458923
2020-06-11,1977.09,1976.35,2011.08,1944.52,1977.09,75243731
2020-06-12,1992.98,1995.59,2011.91,1967.51,1992.98,140347520
2020-06-15,1994.86,1975.04,1998.66,1970.18,1994.86,145078445
2020-06-16,2021.51,2012.69,2024.58,1988.55,2021.51,102021415
2020-06-17,1933.45,1950.75,1955.41,1916.06,1933.45,120921637
2020-06-18,1886.64,1912.24,1931.94,1860.35,1886.64,62743401
2020-06-19,1893.56,1882.99,1895.03,1866.32,1893.56,52831401
2020-06-22,1881.6,1876.36,1895.08,1870.7,1881.6,145979881
2020-06-23,1868.16,1859.87,1881.5,1853.64,1868.16,135253514
2020-06-24,1868.07,1878.58,1936.71,1852.01,1868.07,50998848
2020-06-25,1898.88,1908.05,1919.48,1890.76,1898.88,81601543
2020-06-26,1933.71,1937.22,1960.48,1917.66,1933.71,106714462
2020-06-29,1924.61,1926.68,1958.89,1886.95,1924.61,78897657
2020-06-30,2019.01,2010.57,2034.37,2010.35,2019.01,93832710
2020-07-01,2040.39,2023.88,2077.97,1998.72,2040.39,61904524
2020-07-02,2062.52,2068.62,2091.79,2053.14,2062.52,131433102
2020-07-03,2045.64,2036.23,2059.56,2006.78,2045.64,134111923
2020-07-06,2105.98,2111.23,2139.47,2074.28,2105.98,117721473
2020-07-07,2067.6,2080.16,2089.43,2061.13,2067.6,127858066
2020-07-08,1983.17,1988.92,1995.44,1975.03,1983.17,77259062
2020-07-09,2024.18,2027.31,2046.56,2002.12,2024.18,149706839
2020-07-10,2001.32,2018.9,2028.6,1973.32,2001.32,102597728
2020-07-13,2058.82,2061.4,2076.21,2052.34,2058.82,146783747
2020-07-14,2095.26,2121.26,2137.12,2060.51,2095.26,108846298
2020-07-15,2119.35,2129.43,2156.78,2099.47,2119.35,102738090
2020-07-16,2190.6,2192.38,2222.06,2189.84,2190.6,95406355
2020-07-17,2217.11,2236.19,2270.1,2185.63,2217.11,142654106
2020-07-20,2207.03,2214.49,2216.8,2202.22,2207.03,72528235
2020-07-21,2197.97,2186.37,2213.24,2182.37,2197.97,112796406
2020-07-22,2163.21,2188.82,2198.15,2151.41,2163.21,81414836
2020-07-23,2146.94,2131.17,2166.63,2121.21,2146.94,131132640
