,Close,Open,High,Low,Adj Close,Volume
2020-01-01,1400.0,1386.21,1409.59,1379.08,1400.0,146809362
2020-01-02,1367.67,1370.8,1376.21,1364.11,1367.67,149816293
2020-01-03,1348.9,1351.3,1377.01,1337.54,1348.9,111738196
2020-01-06,1339.11,1335.5,1350.05,1311.33,1339.11,56950472
2020-01-07,1350.05,1347.75,1386.91,1335.6,1350.05,58519830
2020-01-08,1411.11,1407.22,1423.86,1377.65,1411.11,112780535
2020-01-09,1402.12,1411.54,1423.52,1380.93,1402.12,93873784
2020-01-10,1401.8,1405.07,1405.91,1384.96,1401.8,120265174
2020-01-13,1433.89,1443.1,1452.51,1428.77,1433.89,112538096
2020-01-14,1472.47,1462.25,1479.81,1448.02,1472.47,147568372
2020-01-15,1486.22,1483.23,1514.08,1468.41,1486.22,79148706
2020-01-16,1495.7,1503.43,1507.46,1487.91,1495.7,52573407
2020-01-17,1458.56,1460.14,1463.72,1439.3,1458.56,82525111
2020-01-20,1453.75,1458.75,1459.1,1444.72,1453.75,58993716
2020-01-21,1463.63,1465.45,1472.44,1431.92,1463.63,140370397
2020-01-22,1455.12,1442.61,1488.83,1430.61,1455.12,77127049
2020-01-23,1425.38,1416.89,1436.9,1414.83,1425.38,114948567
2020-01-24,1483.31,1483.48,1493.58,1466.63,1483.31,83280992
2020-01-27,1525.07,1535.32,1544.41,1516.8,1525.07,118917044
2020-01-28,1540.24,1545.91,1548.42,1527.36,1540.24,128259592
2020-01-29,1501.92,1499.23,1506.8,1496.17,1501.92,121524030
2020-01-30,1520.5,1517.24,1528.24,1509.53,1520.5,55727674
2020-01-31,1550.28,1550.57,1562.48,1539.14,1550.28,147620436
2020-02-03,1549.62,1549.5,1559.03,1530.58,1549.62,108231221
2020-02-04,1530.16,1538.41,1543.34,1520.37,1530.16,123160706
2020-02-05,1538.21,1533.49,1559.08,1515.22,1538.21,147945522
2020-02-06,1574.14,1584.63,1594.64,1559.31,1574.14,144379016
2020-02-07,1602.61,1600.46,1612.61,1597.37,1602.61,50754688
2020-02-10,1598.74,1596.2,1623.53,1582.02,1598.74,57772449
2020-02-11,1576.25,1583.27,1601.91,1571.75,1576.25,62005743
2020-02-12,1565.19,1566.96,1585.91,1555.47,1565.19,89946576
2020-02-13,1626.54,1624.62,1639.27,1607.8,1626.54,60822117
2020-02-14,1607.82,1614.64,1631.06,1605.64,1607.82,126272266
2020-02-17,1582.96,1574.8,1592.43,1569.14,1582.96,78277445
