,Close,Open,High,Low,Adj Close,Volume
2020-01-01,160.0,158.54,160.09,157.14,160.0,109264461
2020-01-02,163.55,163.41,166.66,162.38,163.55,111059260
2020-01-03,164.2,163.38,164.85,161.97,164.2,113481836
2020-01-06,158.96,159.38,160.89,157.29,158.96,88957149
2020-01-07,160.81,160.99,161.25,160.78,160.81,113514382
2020-01-08,163.28,164.05,165.84,163.07,163.28,127834947
2020-01-09,163.25,163.85,165.72,161.49,163.25,143885029
2020-01-10,164.59,166.0,167.32,162.97,164.59,122352842
2020-01-13,162.77,164.3,164.82,161.88,162.77,65681669
2020-01-14,163.42,164.21,164.37,162.52,163.42,111733622
2020-01-15,165.86,165.84,166.07,165.75,165.86,57495887
2020-01-16,164.81,163.78,164.92,163.75,164.81,93613397
2020-01-17,165.4,164.89,165.42,164.64,165.4,83477813
2020-01-20,170.32,169.04,170.61,164.15,170.32,63075140
2020-01-21,174.73,175.19,175.89,174.46,174.73,139998597
2020-01-22,175.22,174.66,175.47,173.02,175.22,131495009
2020-01-23,178.02,176.7,180.44,175.23,178.02,86544115
2020-01-24,176.77,176.21,177.62,176.13,176.77,111980144
2020-01-27,175.55,176.34,178.33,175.31,175.55,87993725
2020-01-28,173.53,174.19,174.29,173.03,173.53,116457782
2020-01-29,176.32,176.15,176.76,175.26,176.32,138450578
2020-01-30,178.05,176.4,179.04,173.34,178.05,81915114
2020-01-31,180.53,180.88,181.38,180.14,180.53,95767524
2020-02-03,184.81,184.4,188.01,182.38,184.81,132750969
2020-02-04,188.66,189.44,191.0,188.12,188.66,110037943
2020-02-05,187.44,187.86,188.0,184.67,187.44,65841878
2020-02-06,185.68,186.55,187.02,185.48,185.68,86842395
2020-02-07,182.34,183.67,185.3,181.75,182.34,130387039
2020-02-10,179.34,180.0,180.67,177.87,179.34,117472839
2020-02-11,177.18,177.48,179.35,176.41,177.18,60413812
2020-02-12,180.14,180.48,183.24,179.85,180.14,71348718
2020-02-13,188.39,189.47,189.69,188.23,188.39,70901074
2020-02-14,185.8,185.44,187.12,185.41,185.8,60251219
2020-02-17,192.82,194.38,194.66,192.61,192.82,88063454
2020-02-18,192.24,192.49,192.54,190.77,192.24,112161621
2020-02-19,191.86,191.57,192.15,191.39,191.86,72622318
2020-02-20,191.88,189.19,193.98,186.94,191.88,123385498
2020-02-21,195.36,196.64,197.0,192.65,195.36,60999809
2020-02-24,195.06,194.77,196.2,194.37,195.06,112194426
