,Close,Open,High,Low,Adj Close,Volume
2020-01-01,319.92,320.72,323.23,317.77,319.92,61677634
2020-01-02,319.59,321.07,322.03,318.86,319.59,50946667
2020-01-03,315.0,315.57,317.03,311.55,315.0,145764834
2020-01-06,317.97,318.7,318.82,317.04,317.97,87915305
2020-01-07,314.73,316.48,317.22,314.58,314.73,57720354
2020-01-08,317.85,318.8,320.61,313.15,317.85,55679901
2020-01-09,316.5,316.89,317.47,315.8,316.5,104268491
2020-01-10,320.87,320.37,321.42,318.79,320.87,123423789
2020-01-13,324.83,325.72,327.67,323.57,324.83,52674008
2020-01-14,328.81,327.88,330.24,326.87,328.81,110784264
2020-01-15,327.06,327.15,327.9,326.51,327.06,87023840
2020-01-16,326.78,328.79,329.73,324.96,326.78,120753079
2020-01-17,320.28,319.95,320.33,318.36,320.28,91468807
2020-01-20,325.74,326.43,328.12,324.04,325.74,116967090
2020-01-21,327.08,326.17,328.27,324.23,327.08,81070240
2020-01-22,329.15,329.89,329.92,326.98,329.15,130815368
2020-01-23,332.12,330.53,332.87,329.66,332.12,101611675
2020-01-24,335.95,334.14,336.56,333.38,335.95,136416483
2020-01-27,338.64,339.73,341.24,335.34,338.64,60913858
2020-01-28,340.82,340.62,341.45,338.9,340.82,136449230
2020-01-29,347.53,347.1,350.62,342.73,347.53,55951585
2020-01-30,351.1,351.8,352.53,350.31,351.1,93901357
2020-01-31,357.03,355.76,357.34,355.2,357.03,118200526
2020-02-03,355.17,357.91,359.53,352.54,355.17,131313867
2020-02-04,350.36,349.96,350.56,346.98,350.36,69042467
2020-02-05,344.78,344.1,347.19,342.93,344.78,73316220
2020-02-06,341.25,340.76,341.75,340.74,341.25,75587859
2020-02-07,342.15,341.69,342.21,337.53,342.15,83473685
2020-02-10,348.25,347.64,349.49,347.23,348.25,57158703
2020-02-11,352.6,353.76,358.19,351.85,352.6,126165766
2020-02-12,352.26,352.97,353.46,351.6,352.26,135554338
2020-02-13,354.08,352.48,356.51,350.86,354.08,88802487
2020-02-14,352.15,350.84,356.85,350.76,352.15,146944523
2020-02-17,351.2,353.42,353.74,350.96,351.2,95507563
2020-02-18,353.0,352.09,353.63,350.57,353.0,106659545
2020-02-19,361.26,362.71,363.64,359.32,361.26,123275915
2020-02-20,359.99,360.86,362.72,355.84,359.99,68227428
2020-02-21,369.69,372.32,372.34,365.98,369.69,140405252
2020-02-24,373.15,372.99,373.35,370.51,373.15,119489581
2020-02-25,369.9,369.89,370.48,369.84,369.9,70014129
2020-02-26,374.64,372.6,375.17,365.83,374.64,109547656
2020-02-27,373.27,373.27,375.42,372.39,373.27,120495412
2020-02-28,377.71,378.34,379.17,377.08,377.71,102171047
2020-03-02,380.47,381.56,381.95,379.32,380.47,119671841
2020-03-03,386.05,386.13,387.16,385.33,386.05,53743955
2020-03-04,381.94,382.68,384.56,378.59,381.94,53353392
2020-03-05,380.48,381.44,385.52,378.49,380.48,59886951
2020-03-06,382.92,379.98,384.04,376.29,382.92,109051186
2020-03-09,385.4,385.99,386.2,382.18,385.4,119144215
2020-03-10,378.76,377.56,380.06,373.74,378.76,59933526
2020-03-11,376.25,375.76,376.49,375.48,376.25,53958304
2020-03-12,382.05,381.97,382.69,381.95,382.05,90769786
2020-03-13,388.0,387.8,391.33,386.42,388.0,71837538
2020-03-16,387.83,387.1,388.77,386.05,387.83,105756100
2020-03-17,390.15,392.54,394.1,388.37,390.15,91430289
2020-03-18,386.25,386.78,391.35,379.98,386.25,94808442
2020-03-19,383.78,384.47,384.53,381.13,383.78,56199928
2020-03-20,384.26,384.11,388.0,383.48,384.26,69863659
2020-03-23,380.65,381.8,386.79,377.98,380.65,84015206
2020-03-24,382.53,382.21,383.52,382.05,382.53,73805901
2020-03-25,372.35,373.06,376.24,371.01,372.35,88281053
2020-03-26,367.91,366.97,369.02,366.09,367.91,76519513
2020-03-27,369.31,368.31,372.14,368.09,369.31,145500976
2020-03-30,365.52,365.11,366.78,364.04,365.52,89534403
2020-03-31,369.59,369.0,374.51,363.93,369.59,87064725
2020-04-01,378.75,379.02,379.99,378.57,378.75,138753343
2020-04-02,376.53,375.5,381.83,372.9,376.53,146529351
2020-04-03,375.38,376.69,378.88,375.3,375.38,57004607
2020-04-06,380.55,379.44,382.25,379.01,380.55,118035634
2020-04-07,381.61,380.55,383.45,379.43,381.61,140638574
2020-04-08,391.59,391.66,392.19,391.41,391.59,107489400
2020-04-09,392.11,391.03,393.22,389.91,392.11,114021676
2020-04-10,399.68,400.25,406.55,396.79,399.68,142472423
2020-04-13,410.78,411.48,411.73,409.85,410.78,94238273
2020-04-14,404.39,404.51,408.0,402.74,404.39,68948525
2020-04-15,401.11,400.66,402.13,400.16,401.11,82028203
2020-04-16,403.05,403.1,403.59,401.43,403.05,115223529
2020-04-17,401.88,400.25,404.06,398.62,401.88,140537530
2020-04-20,400.27,401.1,403.45,397.25,400.27,55994846
2020-04-21,404.15,404.5,406.71,403.4,404.15,85124365
2020-04-22,401.49,402.09,402.66,399.0,401.49,54036487
2020-04-23,403.15,404.1,405.13,402.12,403.15,110465044
2020-04-24,396.49,397.18,399.02,393.46,396.49,100287840
2020-04-27,396.91,396.61,400.33,393.97,396.91,63564085
2020-04-28,400.02,397.98,400.59,397.58,400.02,72362139
2020-04-29,408.15,408.67,409.12,407.87,408.15,62218443
2020-04-30,397.44,398.51,403.24,394.41,397.44,117832610
2020-05-01,397.56,396.02,397.92,392.42,397.56,148921680
