,Close,Open,High,Low,Adj Close,Volume
2020-01-01,79.68,78.95,80.48,75.86,79.68,81715457
2020-01-02,80.49,81.34,81.61,79.01,80.49,92299240
2020-01-03,80.04,78.74,84.29,75.65,80.04,133550205
2020-01-06,80.03,79.37,81.01,77.79,80.03,54392135
2020-01-07,79.76,79.83,80.52,76.73,79.76,138050253
2020-01-08,83.4,83.61,85.46,82.15,83.4,78458175
2020-01-09,82.23,81.21,83.74,78.68,82.23,97017702
2020-01-10,79.55,81.12,81.83,79.35,79.55,136259810
2020-01-13,78.97,78.66,80.93,78.19,78.97,131599348
2020-01-14,80.45,80.7,81.45,78.05,80.45,142099046
2020-01-15,85.42,85.82,86.08,85.22,85.42,81339656
2020-01-16,83.44,81.74,84.01,79.58,83.44,80295130
2020-01-17,83.03,83.82,84.72,82.84,83.03,81046623
2020-01-20,87.29,87.34,88.64,86.95,87.29,121317241
2020-01-21,87.86,86.6,88.38,85.77,87.86,77988661
2020-01-22,86.07,85.92,89.05,85.46,86.07,81066776
2020-01-23,93.24,91.53,94.67,89.78,93.24,99983780
2020-01-24,88.16,88.06,88.66,86.87,88.16,139642958
2020-01-27,85.41,85.75,86.75,84.43,85.41,125941818
2020-01-28,88.97,89.69,89.78,87.17,88.97,141049300
2020-01-29,87.71,88.09,88.43,85.27,87.71,62370574
2020-01-30,93.34,93.82,94.38,92.09,93.34,148529995
2020-01-31,98.98,98.75,100.38,97.53,98.98,144163944
2020-02-03,99.67,97.04,100.17,96.83,99.67,64196527
2020-02-04,100.49,101.09,102.62,99.13,100.49,119939407
2020-02-05,101.22,101.86,105.74,99.02,101.22,103792122
2020-02-06,106.31,109.29,111.49,103.39,106.31,94472301
2020-02-07,102.51,102.29,103.68,101.7,102.51,64747494
2020-02-10,111.9,111.77,112.71,108.76,111.9,138592759
2020-02-11,108.01,107.86,110.82,105.35,108.01,130884491
2020-02-12,115.17,114.7,115.39,110.04,115.17,77560224
2020-02-13,110.94,111.9,112.06,110.27,110.94,120143640
2020-02-14,107.13,107.79,108.25,104.78,107.13,103241141
2020-02-17,109.45,109.17,112.25,109.16,109.45,133160637
2020-02-18,107.64,109.3,109.33,106.1,107.64,90753108
2020-02-19,108.88,109.9,110.68,103.92,108.88,68902709
2020-02-20,106.62,108.77,108.78,102.46,106.62,78140624
2020-02-21,101.91,101.77,102.18,100.88,101.91,55111753
2020-02-24,103.32,101.85,107.75,100.71,103.32,147779746
2020-02-25,101.45,103.26,104.35,99.9,101.45,136914256
2020-02-26,99.42,98.6,102.6,96.65,99.42,74070523
2020-02-27,104.24,103.83,104.39,103.13,104.24,76219996
2020-02-28,103.3,103.07,107.96,101.04,103.3,122163902
2020-03-02,100.88,102.42,104.03,99.68,100.88,117898052
2020-03-03,104.82,104.29,108.74,102.1,104.82,147110145
2020-03-04,110.21,110.57,113.86,108.78,110.21,119936464
2020-03-05,107.79,108.27,109.97,105.25,107.79,105864099
2020-03-06,110.35,109.59,111.29,107.08,110.35,86944029
2020-03-09,112.83,114.9,116.69,111.61,112.83,76097088
2020-03-10,117.44,115.98,119.23,115.6,117.44,61066186
2020-03-11,120.74,120.7,120.99,119.38,120.74,73226315
2020-03-12,117.91,115.79,118.74,115.05,117.91,88066429
2020-03-13,116.6,114.5,118.55,113.05,116.6,52047731
2020-03-16,110.32,110.24,110.7,108.63,110.32,133315858
2020-03-17,107.54,105.87,113.78,103.86,107.54,81487455
2020-03-18,107.09,105.81,107.5,105.11,107.09,138204163
2020-03-19,111.12,109.76,111.37,108.87,111.12,120424670
2020-03-20,111.5,112.23,112.93,110.64,111.5,137698611
2020-03-23,112.4,110.97,113.2,109.29,112.4,135220791
2020-03-24,114.01,114.14,116.39,113.02,114.01,68698003
2020-03-25,114.77,113.9,117.05,111.4,114.77,53341616
2020-03-26,119.19,118.03,119.61,116.27,119.19,89367347
2020-03-27,120.05,121.96,122.9,119.5,120.05,61539605
2020-03-30,120.11,118.1,121.29,117.4,120.11,149747963
2020-03-31,128.06,128.14,129.83,126.29,128.06,143540961
2020-04-01,131.75,132.12,133.0,130.41,131.75,54048512
2020-04-02,135.11,134.28,135.29,133.9,135.11,93818496
2020-04-03,133.14,134.34,138.73,132.26,133.14,135808422
2020-04-06,120.19,118.25,123.12,117.08,120.19,117600058
2020-04-07,113.66,112.44,118.27,110.79,113.66,131698470
2020-04-08,116.65,117.54,121.01,115.54,116.65,107286755
